Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression (baseline),0.63,0.1608,0.5491,0.2488,0.6283
Logistic Regression (tuned),0.6311,0.1608,0.5469,0.2486,0.6284
